Шаг №  1 	 В момент времени:  11 	 0  ->  1 	За время 0.01 	 Вероятности [1. 0.] 
Шаг №  507 	 В момент времени:  478666 	 2  ->  2 	За время 1.285 	 Вероятности [0.5 0.5] 
Шаг №  508 	 В момент времени:  479547 	 2  ->  1 	За время 0.882 	 Вероятности [0.5 0.5] 
Шаг №  509 	 В момент времени:  479988 	 1  ->  1 	За время 0.442 	 Вероятности [0.8 0.2] 
Шаг №  510 	 В момент времени:  483364 	 1  ->  1 	За время 3.376 	 Вероятности [0.8 0.2] 
Шаг №  511 	 В момент времени:  483610 	 1  ->  1 	За время 0.246 	 Вероятности [0.8 0.2] 
Шаг №  512 	 В момент времени:  483771 	 1  ->  1 	За время 0.162 	 Вероятности [0.8 0.2] 
Шаг №  513 	 В момент времени:  484072 	 1  ->  2 	За время 0.302 	 Вероятности [0.8 0.2] 
Шаг №  514 	 В момент времени:  485435 	 2  ->  2 	За время 1.363 	 Вероятности [0.5 0.5] 
Шаг №  515 	 В момент времени:  487557 	 2  ->  2 	За время 2.122 	 Вероятности [0.5 0.5] 
Шаг №  516 	 В момент времени:  488267 	 2  ->  2 	За время 0.71 	 Вероятности [0.5 0.5] 
Шаг №  517 	 В момент времени:  489150 	 2  ->  1 	За время 0.883 	 Вероятности [0.5 0.5] 
Шаг №  518 	 В момент времени:  489415 	 1  ->  1 	За время 0.266 	 Вероятности [0.8 0.2] 
Шаг №  519 	 В момент времени:  489755 	 1  ->  2 	За время 0.341 	 Вероятности [0.8 0.2] 
Шаг №  520 	 В момент времени:  490631 	 2  ->  1 	За время 0.877 	 Вероятности [0.5 0.5] 
Шаг №  521 	 В момент времени:  491476 	 1  ->  1 	За время 0.846 	 Вероятности [0.8 0.2] 
Шаг №  522 	 В момент времени:  492128 	 1  ->  1 	За время 0.653 	 Вероятности [0.8 0.2] 
Шаг №  523 	 В момент времени:  492674 	 1  ->  2 	За время 0.546 	 Вероятности [0.8 0.2] 
Шаг №  524 	 В момент времени:  493662 	 2  ->  1 	За время 0.988 	 Вероятности [0.5 0.5] 
Шаг №  525 	 В момент времени:  494262 	 1  ->  1 	За время 0.601 	 Вероятности [0.8 0.2] 
Шаг №  526 	 В момент времени:  495224 	 1  ->  1 	За время 0.963 	 Вероятности [0.8 0.2] 
Шаг №  527 	 В момент времени:  495864 	 1  ->  1 	За время 0.64 	 Вероятности [0.8 0.2] 
Шаг №  528 	 В момент времени:  496399 	 1  ->  2 	За время 0.535 	 Вероятности [0.8 0.2] 
Шаг №  529 	 В момент времени:  496676 	 2  ->  1 	За время 0.277 	 Вероятности [0.5 0.5] 
Шаг №  530 	 В момент времени:  496712 	 1  ->  1 	За время 0.036 	 Вероятности [0.8 0.2] 
Шаг №  531 	 В момент времени:  497270 	 1  ->  1 	За время 0.559 	 Вероятности [0.8 0.2] 
Шаг №  532 	 В момент времени:  497526 	 1  ->  2 	За время 0.257 	 Вероятности [0.8 0.2] 
Шаг №  533 	 В момент времени:  498230 	 2  ->  2 	За время 0.705 	 Вероятности [0.5 0.5] 
Шаг №  534 	 В момент времени:  498231 	 2  ->  1 	За время 0.001 	 Вероятности [0.5 0.5] 
Шаг №  535 	 В момент времени:  499162 	 1  ->  1 	За время 0.932 	 Вероятности [0.8 0.2] 
Шаг №  536 	 В момент времени:  500933 	 1  ->  1 	За время 1.771 	 Вероятности [0.8 0.2] 
Шаг №  537 	 В момент времени:  500996 	 1  ->  1 	За время 0.064 	 Вероятности [0.8 0.2] 
Шаг №  538 	 В момент времени:  501898 	 1  ->  2 	За время 0.903 	 Вероятности [0.8 0.2] 
Шаг №  539 	 В момент времени:  504050 	 2  ->  2 	За время 2.152 	 Вероятности [0.5 0.5] 
Шаг №  540 	 В момент времени:  504703 	 2  ->  1 	За время 0.654 	 Вероятности [0.5 0.5] 
Шаг №  541 	 В момент времени:  505759 	 1  ->  1 	За время 1.057 	 Вероятности [0.8 0.2] 
Шаг №  542 	 В момент времени:  505772 	 1  ->  1 	За время 0.014 	 Вероятности [0.8 0.2] 
Шаг №  543 	 В момент времени:  506104 	 1  ->  1 	За время 0.333 	 Вероятности [0.8 0.2] 
Шаг №  544 	 В момент времени:  507557 	 1  ->  1 	За время 1.454 	 Вероятности [0.8 0.2] 
Шаг №  545 	 В момент времени:  508325 	 1  ->  1 	За время 0.769 	 Вероятности [0.8 0.2] 
Шаг №  546 	 В момент времени:  508368 	 1  ->  1 	За время 0.044 	 Вероятности [0.8 0.2] 
Шаг №  547 	 В момент времени:  509213 	 1  ->  1 	За время 0.846 	 Вероятности [0.8 0.2] 
Шаг №  548 	 В момент времени:  509693 	 1  ->  1 	За время 0.48 	 Вероятности [0.8 0.2] 
Шаг №  549 	 В момент времени:  510536 	 1  ->  1 	За время 0.843 	 Вероятности [0.8 0.2] 
Шаг №  550 	 В момент времени:  512351 	 1  ->  1 	За время 1.816 	 Вероятности [0.8 0.2] 
Шаг №  551 	 В момент времени:  514424 	 1  ->  1 	За время 2.073 	 Вероятности [0.8 0.2] 
Шаг №  552 	 В момент времени:  514892 	 1  ->  1 	За время 0.468 	 Вероятности [0.8 0.2] 
Шаг №  553 	 В момент времени:  514924 	 1  ->  1 	За время 0.032 	 Вероятности [0.8 0.2] 
Шаг №  554 	 В момент времени:  517276 	 1  ->  2 	За время 2.353 	 Вероятности [0.8 0.2] 
Шаг №  555 	 В момент времени:  519884 	 2  ->  1 	За время 2.609 	 Вероятности [0.5 0.5] 
Шаг №  556 	 В момент времени:  520344 	 1  ->  1 	За время 0.46 	 Вероятности [0.8 0.2] 
Шаг №  557 	 В момент времени:  520363 	 1  ->  1 	За время 0.019 	 Вероятности [0.8 0.2] 
Шаг №  558 	 В момент времени:  520580 	 1  ->  2 	За время 0.217 	 Вероятности [0.8 0.2] 
Шаг №  559 	 В момент времени:  521537 	 2  ->  2 	За время 0.957 	 Вероятности [0.5 0.5] 
Шаг №  560 	 В момент времени:  524952 	 2  ->  2 	За время 3.415 	 Вероятности [0.5 0.5] 
Шаг №  561 	 В момент времени:  527018 	 2  ->  1 	За время 2.066 	 Вероятности [0.5 0.5] 
Шаг №  562 	 В момент времени:  527862 	 1  ->  2 	За время 0.844 	 Вероятности [0.8 0.2] 
Шаг №  563 	 В момент времени:  528204 	 2  ->  2 	За время 0.343 	 Вероятности [0.5 0.5] 
Шаг №  564 	 В момент времени:  528329 	 2  ->  1 	За время 0.126 	 Вероятности [0.5 0.5] 
Шаг №  565 	 В момент времени:  528357 	 1  ->  1 	За время 0.028 	 Вероятности [0.8 0.2] 
Шаг №  566 	 В момент времени:  528446 	 1  ->  1 	За время 0.089 	 Вероятности [0.8 0.2] 
Шаг №  567 	 В момент времени:  528655 	 1  ->  2 	За время 0.21 	 Вероятности [0.8 0.2] 
Шаг №  568 	 В момент времени:  529043 	 2  ->  2 	За время 0.388 	 Вероятности [0.5 0.5] 
Шаг №  569 	 В момент времени:  529048 	 2  ->  2 	За время 0.006 	 Вероятности [0.5 0.5] 
Шаг №  570 	 В момент времени:  529901 	 2  ->  2 	За время 0.853 	 Вероятности [0.5 0.5] 
Шаг №  571 	 В момент времени:  530353 	 2  ->  2 	За время 0.452 	 Вероятности [0.5 0.5] 
Шаг №  572 	 В момент времени:  531218 	 2  ->  1 	За время 0.865 	 Вероятности [0.5 0.5] 
Шаг №  573 	 В момент времени:  532494 	 1  ->  1 	За время 1.276 	 Вероятности [0.8 0.2] 
Шаг №  574 	 В момент времени:  534845 	 1  ->  1 	За время 2.352 	 Вероятности [0.8 0.2] 
Шаг №  575 	 В момент времени:  535150 	 1  ->  1 	За время 0.305 	 Вероятности [0.8 0.2] 
Шаг №  576 	 В момент времени:  535594 	 1  ->  1 	За время 0.444 	 Вероятности [0.8 0.2] 
Шаг №  577 	 В момент времени:  539865 	 1  ->  2 	За время 4.272 	 Вероятности [0.8 0.2] 
Шаг №  578 	 В момент времени:  539969 	 2  ->  1 	За время 0.104 	 Вероятности [0.5 0.5] 
Шаг №  579 	 В момент времени:  541769 	 1  ->  1 	За время 1.8 	 Вероятности [0.8 0.2] 
Шаг №  580 	 В момент времени:  541951 	 1  ->  1 	За время 0.182 	 Вероятности [0.8 0.2] 
Шаг №  581 	 В момент времени:  544274 	 1  ->  1 	За время 2.323 	 Вероятности [0.8 0.2] 
Шаг №  582 	 В момент времени:  545243 	 1  ->  2 	За время 0.969 	 Вероятности [0.8 0.2] 
Шаг №  583 	 В момент времени:  546868 	 2  ->  1 	За время 1.625 	 Вероятности [0.5 0.5] 
Шаг №  584 	 В момент времени:  547414 	 1  ->  1 	За время 0.547 	 Вероятности [0.8 0.2] 
Шаг №  585 	 В момент времени:  548061 	 1  ->  1 	За время 0.648 	 Вероятности [0.8 0.2] 
Шаг №  586 	 В момент времени:  548756 	 1  ->  1 	За время 0.696 	 Вероятности [0.8 0.2] 
Шаг №  587 	 В момент времени:  548987 	 1  ->  1 	За время 0.232 	 Вероятности [0.8 0.2] 
Шаг №  588 	 В момент времени:  549124 	 1  ->  1 	За время 0.138 	 Вероятности [0.8 0.2] 
Шаг №  589 	 В момент времени:  553089 	 1  ->  1 	За время 3.966 	 Вероятности [0.8 0.2] 
Шаг №  590 	 В момент времени:  555676 	 1  ->  1 	За время 2.588 	 Вероятности [0.8 0.2] 
Шаг №  591 	 В момент времени:  557555 	 1  ->  1 	За время 1.879 	 Вероятности [0.8 0.2] 
Шаг №  592 	 В момент времени:  559110 	 1  ->  1 	За время 1.556 	 Вероятности [0.8 0.2] 
Шаг №  593 	 В момент времени:  560134 	 1  ->  1 	За время 1.024 	 Вероятности [0.8 0.2] 
Шаг №  594 	 В момент времени:  562428 	 1  ->  1 	За время 2.295 	 Вероятности [0.8 0.2] 
Шаг №  595 	 В момент времени:  566511 	 1  ->  1 	За время 4.083 	 Вероятности [0.8 0.2] 
Шаг №  596 	 В момент времени:  567466 	 1  ->  1 	За время 0.955 	 Вероятности [0.8 0.2] 
Шаг №  597 	 В момент времени:  567716 	 1  ->  1 	За время 0.251 	 Вероятности [0.8 0.2] 
Шаг №  598 	 В момент времени:  568743 	 1  ->  1 	За время 1.027 	 Вероятности [0.8 0.2] 
Шаг №  599 	 В момент времени:  570581 	 1  ->  1 	За время 1.839 	 Вероятности [0.8 0.2] 
Шаг №  600 	 В момент времени:  571120 	 1  ->  1 	За время 0.54 	 Вероятности [0.8 0.2] 
Шаг №  601 	 В момент времени:  571816 	 1  ->  2 	За время 0.696 	 Вероятности [0.8 0.2] 
Шаг №  602 	 В момент времени:  571839 	 2  ->  2 	За время 0.023 	 Вероятности [0.5 0.5] 
Шаг №  603 	 В момент времени:  572361 	 2  ->  1 	За время 0.523 	 Вероятности [0.5 0.5] 
Шаг №  604 	 В момент времени:  572439 	 1  ->  1 	За время 0.079 	 Вероятности [0.8 0.2] 
Шаг №  605 	 В момент времени:  572478 	 1  ->  1 	За время 0.04 	 Вероятности [0.8 0.2] 
Шаг №  606 	 В момент времени:  573299 	 1  ->  2 	За время 0.822 	 Вероятности [0.8 0.2] 
Шаг №  607 	 В момент времени:  574467 	 2  ->  1 	За время 1.169 	 Вероятности [0.5 0.5] 
Шаг №  608 	 В момент времени:  574589 	 1  ->  2 	За время 0.122 	 Вероятности [0.8 0.2] 
Шаг №  609 	 В момент времени:  575403 	 2  ->  2 	За время 0.814 	 Вероятности [0.5 0.5] 
Шаг №  610 	 В момент времени:  577321 	 2  ->  1 	За время 1.919 	 Вероятности [0.5 0.5] 
Шаг №  611 	 В момент времени:  579617 	 1  ->  1 	За время 2.296 	 Вероятности [0.8 0.2] 
Шаг №  612 	 В момент времени:  579657 	 1  ->  1 	За время 0.041 	 Вероятности [0.8 0.2] 
Шаг №  613 	 В момент времени:  579662 	 1  ->  2 	За время 0.005 	 Вероятности [0.8 0.2] 
Шаг №  614 	 В момент времени:  580665 	 2  ->  2 	За время 1.004 	 Вероятности [0.5 0.5] 
Шаг №  615 	 В момент времени:  585803 	 2  ->  1 	За время 5.138 	 Вероятности [0.5 0.5] 
Шаг №  616 	 В момент времени:  587366 	 1  ->  1 	За время 1.564 	 Вероятности [0.8 0.2] 
Шаг №  617 	 В момент времени:  587854 	 1  ->  1 	За время 0.489 	 Вероятности [0.8 0.2] 
Шаг №  618 	 В момент времени:  587935 	 1  ->  1 	За время 0.081 	 Вероятности [0.8 0.2] 
Шаг №  619 	 В момент времени:  588412 	 1  ->  1 	За время 0.477 	 Вероятности [0.8 0.2] 
Шаг №  620 	 В момент времени:  588456 	 1  ->  1 	За время 0.044 	 Вероятности [0.8 0.2] 
Шаг №  621 	 В момент времени:  589418 	 1  ->  2 	За время 0.962 	 Вероятности [0.8 0.2] 
Шаг №  622 	 В момент времени:  591865 	 2  ->  2 	За время 2.448 	 Вероятности [0.5 0.5] 
Шаг №  623 	 В момент времени:  591937 	 2  ->  1 	За время 0.072 	 Вероятности [0.5 0.5] 
Шаг №  624 	 В момент времени:  592507 	 1  ->  1 	За время 0.57 	 Вероятности [0.8 0.2] 
Шаг №  625 	 В момент времени:  594758 	 1  ->  1 	За время 2.251 	 Вероятности [0.8 0.2] 
Шаг №  626 	 В момент времени:  595574 	 1  ->  1 	За время 0.816 	 Вероятности [0.8 0.2] 
Шаг №  627 	 В момент времени:  596403 	 1  ->  1 	За время 0.829 	 Вероятности [0.8 0.2] 
Шаг №  628 	 В момент времени:  597347 	 1  ->  1 	За время 0.944 	 Вероятности [0.8 0.2] 
Шаг №  629 	 В момент времени:  597633 	 1  ->  2 	За время 0.286 	 Вероятности [0.8 0.2] 
Шаг №  630 	 В момент времени:  597662 	 2  ->  2 	За время 0.029 	 Вероятности [0.5 0.5] 
Шаг №  631 	 В момент времени:  598277 	 2  ->  1 	За время 0.615 	 Вероятности [0.5 0.5] 
Шаг №  632 	 В момент времени:  598761 	 1  ->  1 	За время 0.484 	 Вероятности [0.8 0.2] 
Шаг №  633 	 В момент времени:  599029 	 1  ->  1 	За время 0.269 	 Вероятности [0.8 0.2] 
Шаг №  634 	 В момент времени:  599822 	 1  ->  1 	За время 0.793 	 Вероятности [0.8 0.2] 
Шаг №  635 	 В момент времени:  600620 	 1  ->  1 	За время 0.799 	 Вероятности [0.8 0.2] 
Шаг №  636 	 В момент времени:  601061 	 1  ->  1 	За время 0.441 	 Вероятности [0.8 0.2] 
Шаг №  637 	 В момент времени:  601523 	 1  ->  1 	За время 0.462 	 Вероятности [0.8 0.2] 
Шаг №  638 	 В момент времени:  601595 	 1  ->  1 	За время 0.072 	 Вероятности [0.8 0.2] 
Шаг №  639 	 В момент времени:  601719 	 1  ->  2 	За время 0.124 	 Вероятности [0.8 0.2] 
Шаг №  640 	 В момент времени:  602098 	 2  ->  1 	За время 0.38 	 Вероятности [0.5 0.5] 
Шаг №  641 	 В момент времени:  603347 	 1  ->  1 	За время 1.25 	 Вероятности [0.8 0.2] 
Шаг №  642 	 В момент времени:  603877 	 1  ->  1 	За время 0.531 	 Вероятности [0.8 0.2] 
Шаг №  643 	 В момент времени:  604467 	 1  ->  1 	За время 0.591 	 Вероятности [0.8 0.2] 
Шаг №  644 	 В момент времени:  604720 	 1  ->  1 	За время 0.254 	 Вероятности [0.8 0.2] 
Шаг №  645 	 В момент времени:  606335 	 1  ->  1 	За время 1.615 	 Вероятности [0.8 0.2] 
Шаг №  646 	 В момент времени:  608552 	 1  ->  1 	За время 2.218 	 Вероятности [0.8 0.2] 
Шаг №  647 	 В момент времени:  609156 	 1  ->  1 	За время 0.605 	 Вероятности [0.8 0.2] 
Шаг №  648 	 В момент времени:  609571 	 1  ->  2 	За время 0.416 	 Вероятности [0.8 0.2] 
Шаг №  649 	 В момент времени:  610584 	 2  ->  1 	За время 1.013 	 Вероятности [0.5 0.5] 
Шаг №  650 	 В момент времени:  611744 	 1  ->  1 	За время 1.161 	 Вероятности [0.8 0.2] 
Шаг №  651 	 В момент времени:  612842 	 1  ->  1 	За время 1.098 	 Вероятности [0.8 0.2] 
Шаг №  652 	 В момент времени:  613705 	 1  ->  1 	За время 0.864 	 Вероятности [0.8 0.2] 
Шаг №  653 	 В момент времени:  614470 	 1  ->  1 	За время 0.766 	 Вероятности [0.8 0.2] 
Шаг №  654 	 В момент времени:  614964 	 1  ->  1 	За время 0.495 	 Вероятности [0.8 0.2] 
Шаг №  655 	 В момент времени:  615279 	 1  ->  1 	За время 0.315 	 Вероятности [0.8 0.2] 
Шаг №  656 	 В момент времени:  615536 	 1  ->  1 	За время 0.258 	 Вероятности [0.8 0.2] 
Шаг №  657 	 В момент времени:  616355 	 1  ->  1 	За время 0.819 	 Вероятности [0.8 0.2] 
Шаг №  658 	 В момент времени:  617867 	 1  ->  1 	За время 1.512 	 Вероятности [0.8 0.2] 
Шаг №  659 	 В момент времени:  618435 	 1  ->  2 	За время 0.569 	 Вероятности [0.8 0.2] 
Шаг №  660 	 В момент времени:  620670 	 2  ->  2 	За время 2.236 	 Вероятности [0.5 0.5] 
Шаг №  661 	 В момент времени:  621816 	 2  ->  2 	За время 1.146 	 Вероятности [0.5 0.5] 
Шаг №  662 	 В момент времени:  624951 	 2  ->  2 	За время 3.136 	 Вероятности [0.5 0.5] 
Шаг №  663 	 В момент времени:  625405 	 2  ->  2 	За время 0.455 	 Вероятности [0.5 0.5] 
Шаг №  664 	 В момент времени:  626803 	 2  ->  1 	За время 1.399 	 Вероятности [0.5 0.5] 
Шаг №  665 	 В момент времени:  629084 	 1  ->  1 	За время 2.282 	 Вероятности [0.8 0.2] 
Шаг №  666 	 В момент времени:  629511 	 1  ->  1 	За время 0.428 	 Вероятности [0.8 0.2] 
Шаг №  667 	 В момент времени:  630193 	 1  ->  1 	За время 0.683 	 Вероятности [0.8 0.2] 
Шаг №  668 	 В момент времени:  633114 	 1  ->  1 	За время 2.922 	 Вероятности [0.8 0.2] 
Шаг №  669 	 В момент времени:  633997 	 1  ->  1 	За время 0.884 	 Вероятности [0.8 0.2] 
Шаг №  670 	 В момент времени:  635701 	 1  ->  1 	За время 1.704 	 Вероятности [0.8 0.2] 
Шаг №  671 	 В момент времени:  636286 	 1  ->  1 	За время 0.586 	 Вероятности [0.8 0.2] 
Шаг №  672 	 В момент времени:  637600 	 1  ->  1 	За время 1.315 	 Вероятности [0.8 0.2] 
Шаг №  673 	 В момент времени:  639685 	 1  ->  2 	За время 2.085 	 Вероятности [0.8 0.2] 
Шаг №  674 	 В момент времени:  641833 	 2  ->  1 	За время 2.148 	 Вероятности [0.5 0.5] 
Шаг №  675 	 В момент времени:  642601 	 1  ->  1 	За время 0.769 	 Вероятности [0.8 0.2] 
Шаг №  676 	 В момент времени:  642638 	 1  ->  1 	За время 0.038 	 Вероятности [0.8 0.2] 
Шаг №  677 	 В момент времени:  642963 	 1  ->  1 	За время 0.326 	 Вероятности [0.8 0.2] 
Шаг №  678 	 В момент времени:  643799 	 1  ->  1 	За время 0.837 	 Вероятности [0.8 0.2] 
Шаг №  679 	 В момент времени:  644098 	 1  ->  1 	За время 0.299 	 Вероятности [0.8 0.2] 
Шаг №  680 	 В момент времени:  644610 	 1  ->  1 	За время 0.513 	 Вероятности [0.8 0.2] 
Шаг №  681 	 В момент времени:  645677 	 1  ->  1 	За время 1.067 	 Вероятности [0.8 0.2] 
Шаг №  682 	 В момент времени:  646382 	 1  ->  2 	За время 0.706 	 Вероятности [0.8 0.2] 
Шаг №  683 	 В момент времени:  646488 	 2  ->  1 	За время 0.106 	 Вероятности [0.5 0.5] 
Шаг №  684 	 В момент времени:  646728 	 1  ->  1 	За время 0.241 	 Вероятности [0.8 0.2] 
Шаг №  685 	 В момент времени:  647901 	 1  ->  1 	За время 1.173 	 Вероятности [0.8 0.2] 
Шаг №  686 	 В момент времени:  648053 	 1  ->  1 	За время 0.152 	 Вероятности [0.8 0.2] 
Шаг №  687 	 В момент времени:  648654 	 1  ->  1 	За время 0.602 	 Вероятности [0.8 0.2] 
Шаг №  688 	 В момент времени:  649381 	 1  ->  1 	За время 0.727 	 Вероятности [0.8 0.2] 
Шаг №  689 	 В момент времени:  649566 	 1  ->  1 	За время 0.185 	 Вероятности [0.8 0.2] 
Шаг №  690 	 В момент времени:  649597 	 1  ->  1 	За время 0.031 	 Вероятности [0.8 0.2] 
Шаг №  691 	 В момент времени:  650552 	 1  ->  1 	За время 0.955 	 Вероятности [0.8 0.2] 
Шаг №  692 	 В момент времени:  651761 	 1  ->  1 	За время 1.21 	 Вероятности [0.8 0.2] 
Шаг №  693 	 В момент времени:  651796 	 1  ->  1 	За время 0.036 	 Вероятности [0.8 0.2] 
Шаг №  694 	 В момент времени:  652123 	 1  ->  2 	За время 0.327 	 Вероятности [0.8 0.2] 
Шаг №  695 	 В момент времени:  652987 	 2  ->  2 	За время 0.865 	 Вероятности [0.5 0.5] 
Шаг №  696 	 В момент времени:  653338 	 2  ->  1 	За время 0.351 	 Вероятности [0.5 0.5] 
Шаг №  697 	 В момент времени:  653961 	 1  ->  2 	За время 0.623 	 Вероятности [0.8 0.2] 
Шаг №  698 	 В момент времени:  656780 	 2  ->  1 	За время 2.819 	 Вероятности [0.5 0.5] 
Шаг №  699 	 В момент времени:  658757 	 1  ->  1 	За время 1.978 	 Вероятности [0.8 0.2] 
Шаг №  700 	 В момент времени:  661580 	 1  ->  1 	За время 2.823 	 Вероятности [0.8 0.2] 
Шаг №  701 	 В момент времени:  663214 	 1  ->  1 	За время 1.634 	 Вероятности [0.8 0.2] 
Шаг №  702 	 В момент времени:  663434 	 1  ->  1 	За время 0.22 	 Вероятности [0.8 0.2] 
Шаг №  703 	 В момент времени:  664584 	 1  ->  1 	За время 1.15 	 Вероятности [0.8 0.2] 
Шаг №  704 	 В момент времени:  664659 	 1  ->  1 	За время 0.076 	 Вероятности [0.8 0.2] 
Шаг №  705 	 В момент времени:  664778 	 1  ->  1 	За время 0.12 	 Вероятности [0.8 0.2] 
Шаг №  706 	 В момент времени:  665236 	 1  ->  1 	За время 0.458 	 Вероятности [0.8 0.2] 
Шаг №  707 	 В момент времени:  665337 	 1  ->  2 	За время 0.101 	 Вероятности [0.8 0.2] 
Шаг №  708 	 В момент времени:  665544 	 2  ->  2 	За время 0.208 	 Вероятности [0.5 0.5] 
Шаг №  709 	 В момент времени:  666708 	 2  ->  2 	За время 1.165 	 Вероятности [0.5 0.5] 
Шаг №  710 	 В момент времени:  667790 	 2  ->  2 	За время 1.082 	 Вероятности [0.5 0.5] 
Шаг №  711 	 В момент времени:  668348 	 2  ->  1 	За время 0.558 	 Вероятности [0.5 0.5] 
Шаг №  712 	 В момент времени:  669224 	 1  ->  1 	За время 0.876 	 Вероятности [0.8 0.2] 
Шаг №  713 	 В момент времени:  669317 	 1  ->  1 	За время 0.093 	 Вероятности [0.8 0.2] 
Шаг №  714 	 В момент времени:  671102 	 1  ->  1 	За время 1.785 	 Вероятности [0.8 0.2] 
Шаг №  715 	 В момент времени:  672735 	 1  ->  1 	За время 1.633 	 Вероятности [0.8 0.2] 
Шаг №  716 	 В момент времени:  673019 	 1  ->  1 	За время 0.284 	 Вероятности [0.8 0.2] 
Шаг №  717 	 В момент времени:  674464 	 1  ->  1 	За время 1.446 	 Вероятности [0.8 0.2] 
Шаг №  718 	 В момент времени:  674662 	 1  ->  1 	За время 0.198 	 Вероятности [0.8 0.2] 
Шаг №  719 	 В момент времени:  675831 	 1  ->  1 	За время 1.17 	 Вероятности [0.8 0.2] 
Шаг №  720 	 В момент времени:  676206 	 1  ->  1 	За время 0.376 	 Вероятности [0.8 0.2] 
Шаг №  721 	 В момент времени:  676404 	 1  ->  1 	За время 0.198 	 Вероятности [0.8 0.2] 
Шаг №  722 	 В момент времени:  676657 	 1  ->  2 	За время 0.253 	 Вероятности [0.8 0.2] 
Шаг №  723 	 В момент времени:  676905 	 2  ->  1 	За время 0.248 	 Вероятности [0.5 0.5] 
Шаг №  724 	 В момент времени:  678193 	 1  ->  1 	За время 1.289 	 Вероятности [0.8 0.2] 
Шаг №  725 	 В момент времени:  678806 	 1  ->  1 	За время 0.613 	 Вероятности [0.8 0.2] 
Шаг №  726 	 В момент времени:  679047 	 1  ->  1 	За время 0.242 	 Вероятности [0.8 0.2] 
Шаг №  727 	 В момент времени:  683110 	 1  ->  2 	За время 4.063 	 Вероятности [0.8 0.2] 
Шаг №  728 	 В момент времени:  683160 	 2  ->  1 	За время 0.05 	 Вероятности [0.5 0.5] 
Шаг №  729 	 В момент времени:  683234 	 1  ->  1 	За время 0.074 	 Вероятности [0.8 0.2] 
Шаг №  730 	 В момент времени:  683766 	 1  ->  1 	За время 0.533 	 Вероятности [0.8 0.2] 
Шаг №  731 	 В момент времени:  684621 	 1  ->  1 	За время 0.855 	 Вероятности [0.8 0.2] 
Шаг №  732 	 В момент времени:  686084 	 1  ->  1 	За время 1.463 	 Вероятности [0.8 0.2] 
Шаг №  733 	 В момент времени:  687468 	 1  ->  1 	За время 1.384 	 Вероятности [0.8 0.2] 
Шаг №  734 	 В момент времени:  688292 	 1  ->  1 	За время 0.824 	 Вероятности [0.8 0.2] 
Шаг №  735 	 В момент времени:  688357 	 1  ->  1 	За время 0.065 	 Вероятности [0.8 0.2] 
Шаг №  736 	 В момент времени:  688728 	 1  ->  1 	За время 0.372 	 Вероятности [0.8 0.2] 
Шаг №  737 	 В момент времени:  688841 	 1  ->  1 	За время 0.113 	 Вероятности [0.8 0.2] 
Шаг №  738 	 В момент времени:  690148 	 1  ->  1 	За время 1.308 	 Вероятности [0.8 0.2] 
Шаг №  739 	 В момент времени:  690666 	 1  ->  2 	За время 0.519 	 Вероятности [0.8 0.2] 
Шаг №  740 	 В момент времени:  691737 	 2  ->  2 	За время 1.071 	 Вероятности [0.5 0.5] 
Шаг №  741 	 В момент времени:  692807 	 2  ->  1 	За время 1.07 	 Вероятности [0.5 0.5] 
Шаг №  742 	 В момент времени:  692903 	 1  ->  1 	За время 0.097 	 Вероятности [0.8 0.2] 
Шаг №  743 	 В момент времени:  693319 	 1  ->  1 	За время 0.417 	 Вероятности [0.8 0.2] 
Шаг №  744 	 В момент времени:  694707 	 1  ->  1 	За время 1.389 	 Вероятности [0.8 0.2] 
Шаг №  745 	 В момент времени:  695266 	 1  ->  1 	За время 0.559 	 Вероятности [0.8 0.2] 
Шаг №  746 	 В момент времени:  695488 	 1  ->  2 	За время 0.222 	 Вероятности [0.8 0.2] 
Шаг №  747 	 В момент времени:  696192 	 2  ->  2 	За время 0.705 	 Вероятности [0.5 0.5] 
Шаг №  748 	 В момент времени:  697324 	 2  ->  1 	За время 1.132 	 Вероятности [0.5 0.5] 
Шаг №  749 	 В момент времени:  698847 	 1  ->  1 	За время 1.523 	 Вероятности [0.8 0.2] 
Шаг №  750 	 В момент времени:  699356 	 1  ->  2 	За время 0.509 	 Вероятности [0.8 0.2] 
Шаг №  751 	 В момент времени:  699390 	 2  ->  1 	За время 0.034 	 Вероятности [0.5 0.5] 
Шаг №  752 	 В момент времени:  699666 	 1  ->  1 	За время 0.277 	 Вероятности [0.8 0.2] 
Шаг №  753 	 В момент времени:  700081 	 1  ->  1 	За время 0.415 	 Вероятности [0.8 0.2] 
Шаг №  754 	 В момент времени:  700092 	 1  ->  1 	За время 0.011 	 Вероятности [0.8 0.2] 
Шаг №  755 	 В момент времени:  700738 	 1  ->  1 	За время 0.646 	 Вероятности [0.8 0.2] 
Шаг №  756 	 В момент времени:  702050 	 1  ->  1 	За время 1.312 	 Вероятности [0.8 0.2] 
Шаг №  757 	 В момент времени:  702178 	 1  ->  2 	За время 0.128 	 Вероятности [0.8 0.2] 
Шаг №  758 	 В момент времени:  702354 	 2  ->  2 	За время 0.176 	 Вероятности [0.5 0.5] 
Шаг №  759 	 В момент времени:  704138 	 2  ->  1 	За время 1.785 	 Вероятности [0.5 0.5] 
